game,team,player,game_id,player_id,reason,status
2023-05-17 Charlotte FC-Chicago Fire FC,Charlotte FC,Joseph Mora,1701865,354530,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Charlotte FC,Kamil Józwiak,1701865,312752,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Charlotte FC,Pablo Sisniega,1701865,371099,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Chicago Fire FC,Justin Reynolds,1701865,471853,injured,Out
2023-05-17 Charlotte FC-Chicago Fire FC,Chicago Fire FC,Victor Bezerra,1701865,434642,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,Columbus Crew,Cucho Hernández,1701853,362501,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,Columbus Crew,Eloy Room,1701853,67114,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,Columbus Crew,Josh Williams,1701853,99318,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,Columbus Crew,Kevin Molino,1701853,138492,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,Columbus Crew,Luis Díaz,1701853,378710,injured,Out
2023-05-17 Columbus Crew-LA Galaxy,LA Galaxy,Jonathan Bond,1701853,81979,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,CF Montreal,George Campbell,1701869,393107,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,CF Montreal,James Pantemis,1701869,354094,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,CF Montreal,Matko Miljevic,1701869,366429,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,CF Montreal,Romell Quioto,1701869,334513,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,CF Montreal,Samuel Piette,1701869,117112,injured,Out
2023-05-17 FC Cincinnati-CF Montreal,FC Cincinnati,Santiago Arias,1701869,88112,injured,Out
2023-05-17 Orlando City-New York City FC,Orlando City,Michael Halliday,1701866,402978,injured,Out
2023-05-17 Philadelphia Union-DC United,DC United,Brendan Hines-Ike,1701855,320457,injured,Out
2023-05-17 Philadelphia Union-DC United,DC United,Martín Rodríguez,1701855,101584,injured,Out
2023-05-17 Philadelphia Union-DC United,DC United,Nigel Robertha,1701855,316933,injured,Out
2023-05-17 Philadelphia Union-DC United,DC United,Pedro Santos,1701855,121356,injured,Out
2023-05-17 Philadelphia Union-DC United,DC United,Steven Birnbaum,1701855,143470,injured,Out
2023-05-17 Toronto FC-New York Red Bulls,New York Red Bulls,Lewis Morgan,1701867,364232,injured,Out
2023-05-17 Toronto FC-New York Red Bulls,New York Red Bulls,Serge Ngoma,1701867,433519,injured,Out
2023-05-17 Toronto FC-New York Red Bulls,Toronto FC,Adama Diomande,1701867,243562,injured,Out
2023-05-17 Toronto FC-New York Red Bulls,Toronto FC,Cristián Gutiérrez,1701867,393110,injured,Out
2023-05-17 Toronto FC-New York Red Bulls,Toronto FC,Lorenzo Insigne,1701867,83390,injured,Out
